max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.7762057495842244,0.025488982260872255,0.0005526542663574219,0.0004922734832857607,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.7762057495842244,0.025488982260872255,0.00035338401794433595,0.0004722827832988919,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.7762057495842244,0.025488982260872255,0.00044005711873372396,0.0005262096922358408,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.7762057495842244,0.025488982260872255,0.0007080396016438802,0.00045065051101444043,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.7762057495842244,0.025488982260872255,0.00034276644388834637,0.0004544056244265444,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.7762057495842244,0.025488982260872255,0.0004758516947428385,0.0005280271437820928,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,5,0.7762057495842244,0.025488982260872255,0.0006094932556152344,0.0005501663182665284,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.7762057495842244,0.025488982260872255,0.0005526860555013021,0.0004923041800771364,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.7765680684248041,0.02537656235788023,0.0005092779795328776,0.000576950311685339,7.0,0.0,2.3333333333333335,0.4879500364742666,4.0,0.0,2.3333333333333335,0.4879500364742666,8.333333333333334,0.48795003647426666
4,2,5,0.7762057495842244,0.025488982260872255,0.0005420684814453125,0.0005493010820841755,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.7762057495842244,0.025488982260872255,0.0005652268727620442,0.0004937485746158925,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
